id,type,exec_time,period,deadline,abs_deadline,energy_cost,comm_latency,arrival_time
125,periodic,4.103014133775983,15.0,12.0,267.0,1.0,0.66,255.0
14,periodic,2.755647506028089,20.0,15.0,275.0,0.75,0.42,260.0
54,periodic,4.766931304157525,20.0,15.0,275.0,1.25,0.82,260.0
275,aperiodic,4.5,0.0,31.5,293.1,0.67,3.58,261.6
90,periodic,7.954147173811952,30.0,20.0,290.0,2.0,0.86,270.0
126,periodic,3.8897063177631126,15.0,12.0,282.0,1.0,1.2,270.0
189,periodic,6.0985426109467635,25.0,18.0,293.0,1.5,0.7,275.0
15,periodic,3.208496619808476,20.0,15.0,295.0,0.75,1.02,280.0
55,periodic,4.972234223797524,20.0,15.0,295.0,1.25,1.44,280.0
217,periodic,9.805532009023919,40.0,28.0,308.0,2.5,1.45,280.0
238,periodic,6.952086110664055,35.0,25.0,305.0,1.75,1.39,280.0
127,periodic,3.7435258686958943,15.0,12.0,297.0,1.0,0.85,285.0
16,periodic,3.1842769639646282,20.0,15.0,315.0,0.75,1.18,300.0
56,periodic,5.225511764226916,20.0,15.0,315.0,1.25,0.62,300.0
91,periodic,8.13744550967591,30.0,20.0,320.0,2.0,1.11,300.0
128,periodic,4.299072664512665,15.0,12.0,312.0,1.0,1.5,300.0
168,periodic,12.223300069743654,50.0,36.0,336.0,3.0,1.33,300.0
190,periodic,5.888349387035015,25.0,18.0,318.0,1.5,1.32,300.0
129,periodic,3.74395643265978,15.0,12.0,327.0,1.0,0.56,315.0
239,periodic,7.050447648522535,35.0,25.0,340.0,1.75,1.13,315.0
17,periodic,3.0217368548728203,20.0,15.0,335.0,0.75,1.47,320.0
57,periodic,5.000351667830179,20.0,15.0,335.0,1.25,0.51,320.0
218,periodic,10.010774650266244,40.0,28.0,348.0,2.5,0.36,320.0
191,periodic,6.1318525578083705,25.0,18.0,343.0,1.5,0.66,325.0
92,periodic,8.29049912681958,30.0,20.0,350.0,2.0,0.42,330.0
130,periodic,3.8591202488502407,15.0,12.0,342.0,1.0,1.42,330.0
271,sporadic,11.5,23.0,39.7,370.9,2.3,2.33,331.2
294,aperiodic,8.3,0.0,43.6,378.5,1.25,3.51,334.9
18,periodic,2.9271206263250122,20.0,15.0,355.0,0.75,0.96,340.0
58,periodic,5.247576703606892,20.0,15.0,355.0,1.25,1.34,340.0
131,periodic,4.228518504211864,15.0,12.0,357.0,1.0,1.36,345.0
273,aperiodic,12.6,0.0,53.2,400.2,1.89,2.64,347.0
169,periodic,11.833460230527399,50.0,36.0,386.0,3.0,1.28,350.0
192,periodic,5.885570797325192,25.0,18.0,368.0,1.5,0.79,350.0
240,periodic,7.214039219382361,35.0,25.0,375.0,1.75,1.22,350.0
19,periodic,3.197642798551797,20.0,15.0,375.0,0.75,1.04,360.0
59,periodic,4.87906687486918,20.0,15.0,375.0,1.25,1.07,360.0
93,periodic,7.941572769261361,30.0,20.0,380.0,2.0,0.71,360.0
132,periodic,3.9217162532433303,15.0,12.0,372.0,1.0,0.49,360.0
219,periodic,9.849518967795984,40.0,28.0,388.0,2.5,1.32,360.0
278,aperiodic,10.3,0.0,64.2,425.3,1.55,3.28,361.1
133,periodic,4.2002469727838845,15.0,12.0,387.0,1.0,1.14,375.0
193,periodic,5.941440232234635,25.0,18.0,393.0,1.5,0.65,375.0
20,periodic,3.2170241401864663,20.0,15.0,395.0,0.75,0.99,380.0
60,periodic,5.065382126862904,20.0,15.0,395.0,1.25,0.48,380.0
277,aperiodic,3.0,0.0,19.8,401.0,0.45,3.15,381.2
241,periodic,6.928228617356627,35.0,25.0,410.0,1.75,0.31,385.0
267,sporadic,10.0,20.0,31.1,420.1,2.0,1.35,389.0
94,periodic,8.217003521811675,30.0,20.0,410.0,2.0,0.6,390.0
134,periodic,4.06700665943557,15.0,12.0,402.0,1.0,1.48,390.0
280,aperiodic,9.0,0.0,48.3,447.40000000000003,1.35,1.99,399.1
21,periodic,3.122743101728954,20.0,15.0,415.0,0.75,0.35,400.0
61,periodic,5.1575064800450905,20.0,15.0,415.0,1.25,0.95,400.0
170,periodic,11.976181940807365,50.0,36.0,436.0,3.0,0.67,400.0
194,periodic,5.776372679435492,25.0,18.0,418.0,1.5,0.8,400.0
220,periodic,9.973877095282104,40.0,28.0,428.0,2.5,1.26,400.0
135,periodic,4.092385790626439,15.0,12.0,417.0,1.0,0.31,405.0
22,periodic,2.836738965390928,20.0,15.0,435.0,0.75,0.65,420.0
62,periodic,5.167175887178335,20.0,15.0,435.0,1.25,0.94,420.0
95,periodic,7.814125345064487,30.0,20.0,440.0,2.0,0.84,420.0
136,periodic,4.190262481069277,15.0,12.0,432.0,1.0,0.66,420.0
242,periodic,6.911055281603095,35.0,25.0,445.0,1.75,1.2,420.0
286,aperiodic,4.2,0.0,12.9,433.29999999999995,0.63,1.46,420.4
195,periodic,6.2642182024381095,25.0,18.0,443.0,1.5,1.11,425.0
137,periodic,4.098033228979647,15.0,12.0,447.0,1.0,1.43,435.0
23,periodic,2.7478751861541766,20.0,15.0,455.0,0.75,0.58,440.0
63,periodic,4.700343137676766,20.0,15.0,455.0,1.25,0.69,440.0
221,periodic,10.100546639551812,40.0,28.0,468.0,2.5,1.49,440.0
96,periodic,7.953128983900642,30.0,20.0,470.0,2.0,0.63,450.0
138,periodic,3.780574668636021,15.0,12.0,462.0,1.0,0.44,450.0
171,periodic,12.177207299491718,50.0,36.0,486.0,3.0,0.57,450.0
196,periodic,6.241683327439549,25.0,18.0,468.0,1.5,1.04,450.0
243,periodic,7.212068770341463,35.0,25.0,480.0,1.75,1.44,455.0
24,periodic,2.7606008576458376,20.0,15.0,475.0,0.75,0.63,460.0
64,periodic,4.7116860454315,20.0,15.0,475.0,1.25,1.41,460.0
139,periodic,3.7642215866256508,15.0,12.0,477.0,1.0,0.96,465.0
197,periodic,5.880569924739339,25.0,18.0,493.0,1.5,0.96,475.0
25,periodic,3.0814106665586403,20.0,15.0,495.0,0.75,0.74,480.0
65,periodic,5.2272331266939105,20.0,15.0,495.0,1.25,1.3,480.0
97,periodic,7.84988386872926,30.0,20.0,500.0,2.0,1.41,480.0
140,periodic,3.86340892738889,15.0,12.0,492.0,1.0,1.03,480.0
222,periodic,10.057271391081652,40.0,28.0,508.0,2.5,1.44,480.0
257,sporadic,18.0,36.0,54.9,539.3,3.6,2.45,484.4
244,periodic,6.951412769577893,35.0,25.0,515.0,1.75,1.2,490.0
141,periodic,4.1305673122832784,15.0,12.0,507.0,1.0,0.54,495.0
26,periodic,2.9221085802701294,20.0,15.0,515.0,0.75,0.55,500.0
66,periodic,4.884508475241597,20.0,15.0,515.0,1.25,0.37,500.0
172,periodic,11.714198660820871,50.0,36.0,536.0,3.0,0.53,500.0
198,periodic,5.700243563818373,25.0,18.0,518.0,1.5,0.64,500.0
287,aperiodic,13.7,0.0,79.0,581.8,2.05,0.94,502.8
98,periodic,7.9658784470320745,30.0,20.0,530.0,2.0,1.33,510.0
142,periodic,4.080542775331048,15.0,12.0,522.0,1.0,0.62,510.0
27,periodic,2.860186693229468,20.0,15.0,535.0,0.75,1.42,520.0
67,periodic,5.226805759522424,20.0,15.0,535.0,1.25,1.44,520.0
223,periodic,10.234855555486263,40.0,28.0,548.0,2.5,1.04,520.0
269,sporadic,12.9,25.8,57.9,582.8,2.58,1.59,524.9
143,periodic,3.993119111289626,15.0,12.0,537.0,1.0,1.39,525.0
199,periodic,5.9579328899939,25.0,18.0,543.0,1.5,1.0,525.0
245,periodic,7.027679385840304,35.0,25.0,550.0,1.75,1.02,525.0
281,aperiodic,11.0,0.0,51.2,577.5,1.65,1.45,526.3
264,sporadic,14.0,28.0,31.2,562.1,2.8,2.07,530.9
260,sporadic,11.9,23.8,31.6,569.1,2.38,2.42,537.5
28,periodic,3.088821231147956,20.0,15.0,555.0,0.75,1.03,540.0
68,periodic,4.751392071240727,20.0,15.0,555.0,1.25,0.88,540.0
99,periodic,8.030195187469909,30.0,20.0,560.0,2.0,0.36,540.0
144,periodic,4.207662227976913,15.0,12.0,552.0,1.0,0.41,540.0
279,aperiodic,3.1,0.0,12.7,557.3000000000001,0.46,1.57,544.6
173,periodic,11.896957170718624,50.0,36.0,586.0,3.0,1.34,550.0
200,periodic,6.092823374221843,25.0,18.0,568.0,1.5,0.86,550.0
145,periodic,3.954145463538236,15.0,12.0,567.0,1.0,0.63,555.0
29,periodic,2.8026831889188584,20.0,15.0,575.0,0.75,1.17,560.0
69,periodic,4.74152751108103,20.0,15.0,575.0,1.25,1.21,560.0
224,periodic,10.13156437676558,40.0,28.0,588.0,2.5,0.91,560.0
246,periodic,6.8323232165942915,35.0,25.0,585.0,1.75,0.56,560.0
255,sporadic,14.7,29.4,46.1,613.0,2.94,2.58,566.9
100,periodic,8.299569481047635,30.0,20.0,590.0,2.0,1.3,570.0
146,periodic,3.7021274134526694,15.0,12.0,582.0,1.0,1.23,570.0
201,periodic,5.965295879582884,25.0,18.0,593.0,1.5,0.56,575.0
293,aperiodic,11.2,0.0,67.6,646.7,1.68,1.29,579.1
30,periodic,2.798041496257157,20.0,15.0,595.0,0.75,0.76,580.0
70,periodic,5.159500657584193,20.0,15.0,595.0,1.25,0.45,580.0
261,sporadic,6.3,12.6,24.1,604.4,1.26,0.79,580.3
147,periodic,4.082268026380827,15.0,12.0,597.0,1.0,0.61,585.0
247,periodic,6.961501585627982,35.0,25.0,620.0,1.75,0.33,595.0
290,aperiodic,13.3,0.0,71.7,670.4000000000001,2.0,1.9,598.7
31,periodic,3.293714010381957,20.0,15.0,615.0,0.75,1.07,600.0
71,periodic,4.985169426859239,20.0,15.0,615.0,1.25,0.96,600.0
101,periodic,8.28139775437085,30.0,20.0,620.0,2.0,1.41,600.0
148,periodic,4.144738545008758,15.0,12.0,612.0,1.0,0.96,600.0
174,periodic,12.280133462429017,50.0,36.0,636.0,3.0,0.63,600.0
202,periodic,5.983911711545596,25.0,18.0,618.0,1.5,1.38,600.0
225,periodic,10.198341501832848,40.0,28.0,628.0,2.5,0.96,600.0
266,sporadic,5.7,11.4,28.2,632.2,1.14,1.37,604.0
149,periodic,3.9566121513884074,15.0,12.0,627.0,1.0,0.31,615.0
32,periodic,3.034169846264788,20.0,15.0,635.0,0.75,1.12,620.0
72,periodic,4.859033977364035,20.0,15.0,635.0,1.25,1.35,620.0
203,periodic,6.177614856076068,25.0,18.0,643.0,1.5,0.5,625.0
102,periodic,8.209217440648583,30.0,20.0,650.0,2.0,0.5,630.0
150,periodic,3.74514631604426,15.0,12.0,642.0,1.0,1.36,630.0
248,periodic,6.901677726219029,35.0,25.0,655.0,1.75,1.11,630.0
272,sporadic,7.8,15.6,35.5,670.6,1.56,0.72,635.1
288,aperiodic,12.4,0.0,67.6,706.8000000000001,1.86,2.51,639.2
33,periodic,3.205711152113886,20.0,15.0,655.0,0.75,1.23,640.0
73,periodic,4.953882764120532,20.0,15.0,655.0,1.25,0.55,640.0
226,periodic,10.238324861939958,40.0,28.0,668.0,2.5,1.19,640.0
151,periodic,4.242357142935936,15.0,12.0,657.0,1.0,0.95,645.0
175,periodic,12.084889043164576,50.0,36.0,686.0,3.0,0.78,650.0
204,periodic,5.750877322035073,25.0,18.0,668.0,1.5,0.92,650.0
34,periodic,2.8374288431784627,20.0,15.0,675.0,0.75,0.34,660.0
74,periodic,5.023577653267675,20.0,15.0,675.0,1.25,1.18,660.0
103,periodic,7.991384675270431,30.0,20.0,680.0,2.0,0.56,660.0
152,periodic,4.20075701193161,15.0,12.0,672.0,1.0,1.0,660.0
265,sporadic,5.4,10.8,23.3,683.6999999999999,1.08,2.0,660.4
274,aperiodic,6.5,0.0,20.4,683.8,0.97,1.14,663.4
249,periodic,6.942590001482582,35.0,25.0,690.0,1.75,0.5,665.0
153,periodic,3.7888562713404896,15.0,12.0,687.0,1.0,0.45,675.0
205,periodic,6.0797645134594775,25.0,18.0,693.0,1.5,0.7,675.0
35,periodic,2.889271828835449,20.0,15.0,695.0,0.75,0.62,680.0
75,periodic,4.820690638033818,20.0,15.0,695.0,1.25,0.67,680.0
227,periodic,9.984804662093833,40.0,28.0,708.0,2.5,0.61,680.0
104,periodic,7.940624175529671,30.0,20.0,710.0,2.0,0.37,690.0
154,periodic,3.8849550099580803,15.0,12.0,702.0,1.0,1.38,690.0
36,periodic,2.826589706151796,20.0,15.0,715.0,0.75,1.43,700.0
76,periodic,5.297089613996537,20.0,15.0,715.0,1.25,1.08,700.0
176,periodic,12.288689812318957,50.0,36.0,736.0,3.0,0.94,700.0
206,periodic,6.191054078721999,25.0,18.0,718.0,1.5,1.2,700.0
250,periodic,6.980434089539386,35.0,25.0,725.0,1.75,0.45,700.0
155,periodic,4.177673382932825,15.0,12.0,717.0,1.0,1.33,705.0
258,sporadic,13.1,26.2,55.8,762.5,2.62,1.0,706.7
37,periodic,3.2258205758836014,20.0,15.0,735.0,0.75,0.68,720.0
77,periodic,4.962860050348702,20.0,15.0,735.0,1.25,0.92,720.0
105,periodic,7.92738387138615,30.0,20.0,740.0,2.0,1.48,720.0
156,periodic,4.2393547819158846,15.0,12.0,732.0,1.0,0.55,720.0
228,periodic,9.848343842505797,40.0,28.0,748.0,2.5,1.07,720.0
207,periodic,6.1036774023343,25.0,18.0,743.0,1.5,0.57,725.0
284,aperiodic,7.8,0.0,51.7,782.5,1.17,2.34,730.8
263,sporadic,8.4,16.8,33.9,768.0,1.68,1.49,734.1
157,periodic,3.8497178435337545,15.0,12.0,747.0,1.0,0.42,735.0
251,periodic,7.073354176584439,35.0,25.0,760.0,1.75,0.33,735.0
38,periodic,3.093263199176928,20.0,15.0,755.0,0.75,0.77,740.0
78,periodic,4.772602517520959,20.0,15.0,755.0,1.25,0.57,740.0
106,periodic,7.859121834903291,30.0,20.0,770.0,2.0,1.24,750.0
158,periodic,4.168069745122866,15.0,12.0,762.0,1.0,1.36,750.0
177,periodic,12.263542284194829,50.0,36.0,786.0,3.0,0.44,750.0
208,periodic,5.819477959635946,25.0,18.0,768.0,1.5,0.33,750.0
292,aperiodic,8.8,0.0,39.8,795.4,1.32,0.91,755.6
39,periodic,3.2487285538443262,20.0,15.0,775.0,0.75,0.85,760.0
79,periodic,4.902851337288473,20.0,15.0,775.0,1.25,1.01,760.0
229,periodic,10.1594882105783,40.0,28.0,788.0,2.5,0.93,760.0
159,periodic,3.94382643389927,15.0,12.0,777.0,1.0,1.04,765.0
252,periodic,6.936412153803823,35.0,25.0,795.0,1.75,0.98,770.0
209,periodic,5.84690552644701,25.0,18.0,793.0,1.5,0.87,775.0
40,periodic,2.8589280998988316,20.0,15.0,795.0,0.75,0.6,780.0
80,periodic,4.8380688395579465,20.0,15.0,795.0,1.25,0.56,780.0
107,periodic,7.973005020403486,30.0,20.0,800.0,2.0,0.81,780.0
160,periodic,3.7927320029993226,15.0,12.0,792.0,1.0,1.42,780.0
161,periodic,4.218763417731978,15.0,12.0,807.0,1.0,1.47,795.0
